Wall time,Step,Value
1719648674.433274,1000,-91.0447769165039
1719648778.027174,2000,-95.23809814453125
1719648891.1053517,3000,-95.16129302978516
1719649017.3295605,4000,-94.7368392944336
1719649123.6440244,5000,-94.0
1719649252.8786826,6000,-73.21428680419922
1719649373.991916,7000,-76.92308044433594
1719649505.9110098,8000,-51.020408630371094
1719649645.530995,9000,-80.43478393554688
1719649771.21903,10000,-58.13953399658203
1719649922.9890757,11000,-56.25
1719650069.1969006,12000,-65.11627960205078
1719650210.3168678,13000,-70.73170471191406
1719650382.7368555,14000,-67.39130401611328
1719650518.9217,15000,-15.625
1719650720.5050325,16000,-114.28571319580078
1719650886.346226,17000,-58.33333206176758
1719651043.8664417,18000,833.3333129882812
1719651205.4916186,19000,-51.6129035949707
1719651346.342376,20000,3288.0
1719651518.2289505,21000,-66.66666412353516
1719651692.7795582,22000,1529.629638671875
1719651917.9484916,23000,-70.96774291992188
1719651952.6537225,25000,500.0
1719652124.1903174,26000,2556.25
1719652288.8335388,27000,-4.0
1719652539.972426,28000,673.3333129882812
1719652850.5073967,29000,675.0
1719653001.9196637,30000,1275.0
1719653267.8113298,31000,2466.666748046875
1719653519.9637733,32000,-44.44444274902344
1719653687.2290645,33000,3570.0
1719653904.5855544,34000,703.7036743164062
1719654026.8168595,35000,5145.0
1719654290.781683,36000,2503.0302734375
1719654501.8287203,37000,3020.833251953125
1719654831.7598794,38000,1980.48779296875
1719655251.5730846,39000,1010.0
1719655417.459503,40000,1750.0
1719655738.845064,41000,4015.384521484375
1719656101.3706958,42000,1097.22216796875
1719656463.833518,43000,2714.705810546875
1719656814.093516,44000,3406.666748046875
1719657221.9129307,45000,2539.39404296875
1719657684.1058936,46000,648.3870849609375
1719658098.901083,47000,1444.4444580078125
1719658577.1530972,48000,1007.5
1719658881.1218379,50000,3477.77783203125
1719659345.6424017,51000,1377.77783203125
1719659903.2057712,52000,-40.0
1719660506.3609068,53000,2316.129150390625
1719660888.2098663,54000,5569.23095703125
1719661345.4325535,55000,3948.27587890625
1719661908.7124677,56000,2360.0
1719662397.3603053,57000,2165.517333984375
1719662992.3421974,58000,2212.195068359375
1719663835.832873,59000,2129.411865234375
1719664459.9807487,60000,1972.9730224609375
1719665188.6711633,61000,3544.73681640625
1719665837.4959545,62000,1866.6666259765625
1719666549.686122,63000,3466.666748046875
1719667328.083306,64000,2918.181884765625
1719668236.243851,65000,2377.77783203125
1719669062.414768,66000,5856.52197265625
1719669857.962955,67000,6358.53662109375
1719670240.0335193,68000,5785.0
1719671265.6782038,69000,4661.224609375
1719672190.5173876,70000,2650.0
1719672995.8312788,71000,3169.4443359375
1719673896.6562557,72000,3446.666748046875
1719674850.4482653,73000,3362.162109375
1719675825.4218616,74000,3802.631591796875
1719676645.5807488,75000,4160.0
1719677633.5489914,76000,5208.33349609375
1719678767.6573505,77000,5435.0
1719679456.1790283,78000,5815.625
1719680625.4024286,79000,7188.09521484375
1719680731.8073418,80000,10450.0
1719681416.662427,82000,4938.09521484375
1719682823.8083384,83000,3177.77783203125
1719684338.5717082,84000,1517.0731201171875
1719685586.8466651,85000,4927.77783203125
1719686906.002458,86000,3491.666748046875
1719687104.013831,87000,5037.14306640625
1719687215.2814841,88000,5397.826171875
1719687315.0980554,89000,6571.4287109375
1719687423.801425,90000,5784.4443359375
1719687539.5162456,91000,5280.85107421875
1719687650.9793742,92000,5863.04345703125
1719687781.390451,93000,3792.3076171875
1719687927.7816932,94000,1879.54541015625
1719688068.658941,95000,2377.083251953125
1719688194.3517835,96000,4305.88232421875
1719688316.9388628,97000,5697.958984375
1719688461.9577594,98000,4844.6806640625
1719688593.4557595,99000,3392.5
1719688748.495609,100000,4158.1396484375
1719688891.7855701,101000,3651.351318359375
1719689019.590659,102000,3858.333251953125
1719689193.5236893,103000,3127.906982421875
1719689350.2484393,104000,6821.951171875
1719689553.9458385,105000,3842.857177734375
1719689775.6861813,106000,2936.95654296875
1719689951.1257246,107000,7219.5654296875
1719690187.5537796,108000,3197.619140625
1719690497.146555,109000,2037.837890625
1719690722.988843,110000,7264.0
1719690949.7301137,111000,5675.0
1719691243.0663497,112000,4479.54541015625
1719691503.479972,113000,6767.39111328125
1719691772.918081,114000,5982.22216796875
1719692122.9177768,115000,7447.169921875
1719692439.273553,116000,80.0
1719692565.3927379,117000,4661.7021484375
1719692675.3051345,118000,6400.0
1719692753.5541937,119000,5024.1376953125
1719692865.9223325,120000,3950.0
1719692978.115599,121000,3392.5
1719693099.718269,122000,6092.3076171875
1719693215.9315753,123000,5297.958984375
1719693329.8268251,124000,6133.33349609375
1719693447.5793037,125000,6546.93896484375
1719693573.7738645,126000,3604.8779296875
1719693708.939143,127000,3639.534912109375
1719693830.3764896,128000,7472.0
1719693983.2610967,129000,6123.529296875
1719694121.2213085,130000,6783.67333984375
1719694282.4389534,131000,3516.666748046875
1719694437.551164,132000,5821.951171875
1719694617.2222981,133000,4579.06982421875
1719694767.9722645,134000,5789.4736328125
1719694976.8097866,135000,5850.0
1719695208.2416513,136000,3664.86474609375
1719695389.3167844,137000,6242.85693359375
1719695598.9236438,138000,4600.0
1719695830.9794047,139000,5666.66650390625
1719696093.3256624,140000,4044.4443359375
1719696288.527712,141000,3058.333251953125
1719696515.6800315,142000,6091.66650390625
1719696795.6360698,143000,5904.54541015625
1719697143.1453524,144000,5514.63427734375
1719697513.490465,145000,4258.82373046875
1719697827.212828,146000,6967.39111328125
1719697871.2568786,147000,7925.0
1719698118.443066,148000,3678.571533203125
1719698558.9690192,149000,6946.51171875
1719698968.3542435,150000,4180.0
1719699341.5317097,151000,4958.064453125
1719699743.0356464,165000,7173.9130859375
1719700227.0855622,166000,6546.66650390625
1719700618.596687,167000,7360.0
1719700959.6703858,168000,2628.571533203125
1719701269.1606495,169000,8090.244140625
1719701745.3986232,170000,5617.39111328125
1719702114.4879768,171000,7688.3720703125
1719702603.2729974,172000,4410.0
1719703161.075056,173000,7466.0
1719703700.7497523,174000,4266.66650390625
1719704194.1311843,175000,6305.26318359375
1719704754.3437586,176000,6191.4892578125
1719705382.8261492,177000,6236.0
1719705828.6093214,178000,5018.5185546875
1719706431.2795305,179000,8078.0
1719707112.4766955,180000,7721.2763671875
1719707927.2180605,181000,3142.42431640625
1719708911.6874902,182000,5592.0
1719709497.170032,183000,5196.4287109375
1719709904.4572992,187000,6933.33349609375
1719710613.2736433,188000,7260.0
1719711151.5649405,189000,5335.48388671875
1719711431.4365804,190000,5228.5712890625
1719711567.9472961,191000,10600.0
1719712223.663949,193000,6358.82373046875
1719713075.505748,194000,5157.14306640625
1719713700.668087,195000,2908.0
1719714620.0811272,196000,4502.70263671875
1719739627.0185425,197000,7741.66650390625
1719739700.5822108,198000,7200.0
1719739772.1233034,199000,7272.97314453125
1719739852.5314062,200000,8179.06982421875
1719739943.4010427,201000,8709.8037109375
1719740039.7161212,202000,8843.90234375
1719740130.3594284,203000,8301.9609375
1719740207.0099902,204000,6827.58642578125
1719740307.899367,205000,9105.8828125
1719740420.2423322,206000,8179.06982421875
1719740528.5592334,207000,5800.0
1719740630.3229682,208000,7002.5
1719740754.4285665,209000,7487.23388671875
1719740843.345769,210000,9005.1279296875
1719740954.4168973,211000,7767.5
1719741073.6914163,212000,9209.0908203125
1719741215.3680942,213000,9263.265625
1719741347.7745662,214000,6902.56396484375
1719744369.7371178,215000,9271.794921875
1719744454.1969712,216000,7745.0
1719744542.2805178,217000,9162.263671875
1719744643.2588394,218000,6771.4287109375
1719744728.399216,219000,8042.22216796875
1719744821.6158495,220000,7879.62939453125
1719744929.7629023,221000,8157.6923828125
1719745035.0687935,222000,7088.888671875
1719745148.3022,223000,8285.4541015625
1719745250.938284,224000,8026.53076171875
1719745353.8683324,225000,9445.8330078125
1719745469.2002847,226000,9140.9833984375
1719745596.2872436,227000,9156.603515625
1719745734.385085,228000,8639.3447265625
1719745902.1382408,229000,8598.3046875
1719746045.6319768,230000,9192.7275390625
1719746224.2201402,231000,9290.0
1719746406.191669,232000,9636.6669921875
1719748189.390513,233000,10225.0
1719748282.466465,234000,8416.94921875
1719748373.4744308,235000,8203.7734375
1719748463.110323,236000,9573.2138671875
1719748570.0935986,237000,7966.66650390625
1719748668.7222328,238000,7979.16650390625
1719748771.485472,239000,7288.63623046875
1719748892.9579742,240000,6818.8681640625
1719749012.693315,241000,8476.0
1719749123.9287865,242000,9434.482421875
1719749266.540157,243000,8280.0
1719749376.916346,244000,9523.0771484375
1719749487.8302162,245000,8262.857421875
1719749644.0739303,246000,7079.54541015625
1719749812.8974628,247000,8032.65283203125
1719749985.8746984,248000,7509.8037109375
1719750158.8353472,249000,8808.3330078125
1719750229.0257251,250000,5271.4287109375
